Postêpowania wszczête zabójstwo wg jednostek organizacyjnych Policji.;;;;
;;;;
Jednostka organizacyjna Policji;Rok;Postêpowania wszczête;;
KWP Bydgoszcz;1999;51;;
KWP Lublin;2018;34;;
KWP Lublin;2017;40;;
KWP Lublin;2016;42;;
KWP Lublin;2015;22;;
KWP Lublin;2014;29;;
KWP Lublin;2013;36;;
KWP Lublin;2012;45;;
KWP Lublin;2011;37;;
KWP Lublin;2010;62;;
KWP Lublin;2009;46;;
KWP Lublin;2008;61;;
KWP Lublin;2007;82;;
KWP Lublin;2006;52;;
KWP Lublin;2005;42;;
KWP Lublin;2004;52;;
KWP Lublin;2003;45;;
KWP Lublin;2002;45;;
KWP Lublin;2001;59;;
KWP Lublin;2000;51;;
KWP Lublin;1999;65;;
KWP Gorzów Wielkpolski;2018;24;;
KWP Gorzów Wielkpolski;2017;21;;
KWP Gorzów Wielkpolski;2016;20;;
KWP Gorzów Wielkpolski;2015;25;;
KWP Gorzów Wielkpolski;2014;27;;
KWP Gorzów Wielkpolski;2013;29;;
KWP Gorzów Wielkpolski;2012;21;;
KWP Gorzów Wielkpolski;2011;28;;
KWP Gorzów Wielkpolski;2010;28;;
KWP Gorzów Wielkpolski;2009;29;;
KWP Gorzów Wielkpolski;2008;26;;
KWP Gorzów Wielkpolski;2007;26;;
KWP Gorzów Wielkpolski;2006;23;;
KWP Gorzów Wielkpolski;2005;24;;
KWP Gorzów Wielkpolski;2004;24;;
KWP Gorzów Wielkpolski;2003;27;;
KWP Gorzów Wielkpolski;2002;33;;
KWP Gorzów Wielkpolski;2001;48;;
KWP Gorzów Wielkpolski;2000;48;;
KWP Gorzów Wielkpolski;1999;42;;
KWP £ódŸ;2018;51;;
KWP £ódŸ;2017;47;;
KWP £ódŸ;2016;35;;
KWP £ódŸ;2015;40;;
KWP £ódŸ;2014;52;;
KWP £ódŸ;2013;57;;
KWP £ódŸ;2012;41;;
KWP £ódŸ;2011;54;;
KWP £ódŸ;2010;64;;
KWP £ódŸ;2009;57;;
KWP £ódŸ;2008;64;;
KWP £ódŸ;2007;63;;
KWP £ódŸ;2006;86;;
KWP £ódŸ;2005;60;;
KWP £ódŸ;2004;66;;
KWP £ódŸ;2003;57;;
KWP £ódŸ;2002;101;;
KWP £ódŸ;2001;123;;
KWP £ódŸ;2000;100;;
KWP £ódŸ;1999;89;;
KWP Kraków;2018;30;;
KWP Kraków;2017;33;;
KWP Kraków;2016;22;;
KWP Kraków;2015;27;;
KWP Kraków;2014;43;;
KWP Kraków;2013;46;;
KWP Kraków;2012;47;;
KWP Kraków;2011;50;;
KWP Kraków;2010;53;;
KWP Kraków;2009;54;;
KWP Kraków;2008;44;;
KWP Kraków;2007;47;;
KWP Kraków;2006;44;;
KWP Kraków;2005;36;;
KWP Kraków;2004;45;;
KWP Kraków;2003;60;;
KWP Kraków;2002;60;;
KWP Kraków;2001;78;;
KWP Kraków;2000;68;;
KWP Kraków;1999;48;;
KWP z/s w Radomiu i KSP Warszawa;2018;74;;
KWP z/s w Radomiu i KSP Warszawa;2017;83;;
KWP z/s w Radomiu i KSP Warszawa;2016;95;;
KWP z/s w Radomiu i KSP Warszawa;2015;63;;
KWP z/s w Radomiu i KSP Warszawa;2014;72;;
KWP z/s w Radomiu i KSP Warszawa;2013;81;;
KWP z/s w Radomiu i KSP Warszawa;2012;84;;
KWP z/s w Radomiu i KSP Warszawa;2011;132;;
KWP z/s w Radomiu i KSP Warszawa;2010;95;;
KWP z/s w Radomiu i KSP Warszawa;2009;101;;
KWP z/s w Radomiu i KSP Warszawa;2008;121;;
KWP z/s w Radomiu i KSP Warszawa;2007;143;;
KWP z/s w Radomiu i KSP Warszawa;2006;136;;
KWP z/s w Radomiu i KSP Warszawa;2005;140;;
KWP z/s w Radomiu i KSP Warszawa;2004;147;;
KWP z/s w Radomiu i KSP Warszawa;2003;182;;
KWP z/s w Radomiu i KSP Warszawa;2002;171;;
KWP z/s w Radomiu i KSP Warszawa;2001;179;;
KWP z/s w Radomiu i KSP Warszawa;2000;208;;
KWP z/s w Radomiu i KSP Warszawa;1999;183;;
KWP Opole;2018;13;;
KWP Opole;2017;7;;
KWP Opole;2016;9;;
KWP Opole;2015;13;;
KWP Opole;2014;14;;
KWP Opole;2013;7;;
KWP Opole;2012;14;;
KWP Opole;2011;14;;
KWP Opole;2010;13;;
KWP Opole;2009;19;;
KWP Opole;2008;14;;
KWP Opole;2007;14;;
KWP Opole;2006;11;;
KWP Opole;2005;17;;
KWP Opole;2004;13;;
KWP Opole;2003;13;;
KWP Opole;2002;27;;
KWP Opole;2001;21;;
KWP Opole;2000;26;;
KWP Opole;1999;25;;
KWP Rzeszów;2018;17;;
KWP Rzeszów;2017;19;;
KWP Rzeszów;2016;7;;
KWP Rzeszów;2015;18;;
KWP Rzeszów;2014;18;;
KWP Rzeszów;2013;31;;
KWP Rzeszów;2012;16;;
KWP Rzeszów;2011;8;;
KWP Rzeszów;2010;16;;
KWP Rzeszów;2009;23;;
KWP Rzeszów;2008;22;;
KWP Rzeszów;2007;22;;
KWP Rzeszów;2006;25;;
KWP Rzeszów;2005;24;;
KWP Rzeszów;2004;15;;
KWP Rzeszów;2003;22;;
KWP Rzeszów;2002;25;;
KWP Rzeszów;2001;29;;
KWP Rzeszów;2000;31;;
KWP Rzeszów;1999;24;;
KWP Bia³ystok;2018;12;;
KWP Bia³ystok;2017;18;;
KWP Bia³ystok;2016;15;;
KWP Bia³ystok;2015;14;;
KWP Bia³ystok;2014;15;;
KWP Bia³ystok;2013;20;;
KWP Bia³ystok;2012;12;;
KWP Bia³ystok;2011;13;;
KWP Bia³ystok;2010;10;;
KWP Bia³ystok;2009;20;;
KWP Bia³ystok;2008;16;;
KWP Bia³ystok;2007;32;;
KWP Bia³ystok;2006;24;;
KWP Bia³ystok;2005;28;;
KWP Bia³ystok;2004;36;;
KWP Bia³ystok;2003;31;;
KWP Bia³ystok;2002;29;;
KWP Bia³ystok;2001;43;;
KWP Bia³ystok;2000;37;;
KWP Bia³ystok;1999;47;;
KWP Gdañsk;2018;35;;
KWP Gdañsk;2017;33;;
KWP Gdañsk;2016;32;;
KWP Gdañsk;2015;33;;
KWP Gdañsk;2014;40;;
KWP Gdañsk;2013;34;;
KWP Gdañsk;2012;26;;
KWP Gdañsk;2011;41;;
KWP Gdañsk;2010;42;;
KWP Gdañsk;2009;46;;
KWP Gdañsk;2008;36;;
KWP Gdañsk;2007;41;;
KWP Gdañsk;2006;37;;
KWP Gdañsk;2005;29;;
KWP Gdañsk;2004;58;;
KWP Gdañsk;2003;54;;
KWP Gdañsk;2002;60;;
KWP Gdañsk;2001;60;;
KWP Gdañsk;2000;57;;
KWP Gdañsk;1999;69;;
KWP Katowice;2018;70;;
KWP Katowice;2017;57;;
KWP Katowice;2016;76;;
KWP Katowice;2015;65;;
KWP Katowice;2014;76;;
KWP Katowice;2013;73;;
KWP Katowice;2012;71;;
KWP Katowice;2011;87;;
KWP Katowice;2010;106;;
KWP Katowice;2009;83;;
KWP Katowice;2008;99;;
KWP Katowice;2007;97;;
KWP Katowice;2006;125;;
KWP Katowice;2005;104;;
KWP Katowice;2004;91;;
KWP Katowice;2003;132;;
KWP Katowice;2002;135;;
KWP Katowice;2001;139;;
KWP Katowice;2000;157;;
KWP Katowice;1999;164;;
KWP Kielce;2018;21;;
KWP Kielce;2017;23;;
KWP Kielce;2016;15;;
KWP Kielce;2015;10;;
KWP Kielce;2014;10;;
KWP Kielce;2013;12;;
KWP Kielce;2012;12;;
KWP Kielce;2011;31;;
KWP Kielce;2010;19;;
KWP Kielce;2009;19;;
KWP Kielce;2008;27;;
KWP Kielce;2007;14;;
KWP Kielce;2006;27;;
KWP Kielce;2005;16;;
KWP Kielce;2004;30;;
KWP Kielce;2003;27;;
KWP Kielce;2002;32;;
KWP Kielce;2001;42;;
KWP Kielce;2000;37;;
KWP Kielce;1999;27;;
KWP Olsztyn;2018;14;;
KWP Olsztyn;2017;20;;
KWP Olsztyn;2016;27;;
KWP Olsztyn;2015;24;;
KWP Olsztyn;2014;18;;
KWP Olsztyn;2013;21;;
KWP Olsztyn;2012;20;;
KWP Olsztyn;2011;22;;
KWP Olsztyn;2010;23;;
KWP Olsztyn;2009;35;;
KWP Olsztyn;2008;36;;
KWP Olsztyn;2007;26;;
KWP Olsztyn;2006;37;;
KWP Olsztyn;2005;39;;
KWP Olsztyn;2004;36;;
KWP Olsztyn;2003;43;;
KWP Olsztyn;2002;48;;
KWP Olsztyn;2001;51;;
KWP Olsztyn;2000;55;;
KWP Olsztyn;1999;51;;
KWP Poznañ;2018;35;;
KWP Poznañ;2017;22;;
KWP Poznañ;2016;25;;
KWP Poznañ;2015;23;;
KWP Poznañ;2014;26;;
KWP Poznañ;2013;21;;
KWP Poznañ;2012;30;;
KWP Poznañ;2011;38;;
KWP Poznañ;2010;36;;
KWP Poznañ;2009;43;;
KWP Poznañ;2008;40;;
KWP Poznañ;2007;35;;
KWP Poznañ;2006;41;;
KWP Poznañ;2005;41;;
KWP Poznañ;2004;43;;
KWP Poznañ;2003;59;;
KWP Poznañ;2002;62;;
KWP Poznañ;2001;57;;
KWP Poznañ;2000;47;;
KWP Poznañ;1999;52;;
KWP Szczecin;2018;41;;
KWP Szczecin;2017;35;;
KWP Szczecin;2016;26;;
KWP Szczecin;2015;35;;
KWP Szczecin;2014;28;;
KWP Szczecin;2013;39;;
KWP Szczecin;2012;48;;
KWP Szczecin;2011;43;;
KWP Szczecin;2010;37;;
KWP Szczecin;2009;44;;
KWP Szczecin;2008;32;;
KWP Szczecin;2007;31;;
KWP Szczecin;2006;29;;
KWP Szczecin;2005;28;;
KWP Szczecin;2004;42;;
KWP Szczecin;2003;51;;
KWP Szczecin;2002;72;;
KWP Szczecin;2001;90;;
KWP Szczecin;2000;88;;
KWP Szczecin;1999;70;;
KWP z/s w Radomiu;2018;26;;
KWP z/s w Radomiu;2017;43;;
KWP z/s w Radomiu;2016;42;;
KWP z/s w Radomiu;2015;18;;
KWP z/s w Radomiu;2014;30;;
KWP z/s w Radomiu;2013;26;;
KWP z/s w Radomiu;2012;33;;
KWP z/s w Radomiu;2011;51;;
KWP z/s w Radomiu;2010;45;;
KWP z/s w Radomiu;2009;35;;
KWP z/s w Radomiu;2008;46;;
KWP z/s w Radomiu;2007;54;;
KWP z/s w Radomiu;2006;55;;
KWP z/s w Radomiu;2005;47;;
KWP z/s w Radomiu;2004;50;;
KWP z/s w Radomiu;2003;60;;
KWP z/s w Radomiu;2002;65;;
KWP z/s w Radomiu;2001;74;;
KWP z/s w Radomiu;2000;78;;
KWP z/s w Radomiu;1999;91;;
KSP Warszawa;2018;48;;
KSP Warszawa;2017;40;;
KSP Warszawa;2016;53;;
KSP Warszawa;2015;45;;
KSP Warszawa;2014;42;;
KSP Warszawa;2013;55;;
KSP Warszawa;2012;51;;
KSP Warszawa;2011;81;;
KSP Warszawa;2010;50;;
KSP Warszawa;2009;66;;
KSP Warszawa;2008;75;;
KSP Warszawa;2007;89;;
KSP Warszawa;2006;81;;
KSP Warszawa;2005;93;;
KSP Warszawa;2004;97;;
KSP Warszawa;2003;122;;
KSP Warszawa;2002;106;;
KSP Warszawa;2001;105;;
KSP Warszawa;2000;130;;
KSP Warszawa;1999;92;;
;;;;
BSW KGP;2013;0;;
CBŒ KGP;2013;8;;
BSW KGP;2014;0;;
CBŒ KGP/CBŒP;2014;9;;
BSW KGP;2015;0;;
CBŒP;2015;2;;
BSW KGP;2016;0;;
CBŒP;2016;2;;
BSW KGP;2017;0;;
CBŒP;2017;9;;
BSWP KGP;2018;0;;
CBŒP;2018;3;;
;;;;
UWAGA: W latach 1999-2012 ze wglêdu na sposób gromadzenia danych nie wyodrêbniano liczby postepowañ wszczêtych dla BSW KGP i CBŒ KGP, a wskazywano je w garnizonach na terenie których dzia³a³y poszczególne komórki organizacyjne.;;;;
;;;;
